a1,a2,a3,a4
2.14416,-1.95821,-0.190533,-4.58475
-9.92015,-7.47519,1.79468,-7.47251
-1.33059,0.751472,-3.5574,0.328149
7.76171,-1.49846,-1.76463,10.9919
-0.714011,-0.164771,9.65056,8.97095
2.84025,3.03178,5.53735,-0.361937
1.1197,-2.35288,-5.29664,-7.66881
-13.1995,-1.13823,-6.11542,-8.53243
-12.8513,-1.53669,-2.30695,-0.502462
8.30216,0.263659,0.63349,4.91734
16.1343,-3.31915,2.40722,9.04243
-2.22967,6.62137,4.54943,2.17933
-2.27268,-1.92581,-1.96247,-4.67108
2.73807,-5.39744,-5.9925,-6.70632
-9.95543,-2.6879,1.99196,-9.86835
5.63043,-6.24712,-0.193154,-7.64993
14.4032,1.73483,-7.83713,13.4213
-11.1446,9.29661,7.19822,12.0722
1.30627,-5.62901,5.75739,2.33888
14.8105,1.10018,-4.06108,-7.57945
-20.2453,-9.57355,2.16331,-14.9497
-11.2484,-6.52926,-3.50304,-1.06326
11.8568,1.78594,-2.04676,8.36345
10.5785,-12.8144,8.5269,8.5733
8.66961,11.9441,1.69384,7.19947
-2.07199,-8.9488,-6.66918,0.991284
-14.3628,-2.01515,-8.4636,-6.4172
-8.7041,2.85756,-4.59622,-7.67184
3.85927,-6.68463,-1.54459,-7.74102
7.71802,4.83173,-4.61016,10.8818
-3.50149,4.68096,3.1635,12.8127
3.34474,7.47091,2.68907,2.97752
10.6029,-16.9844,-0.395262,-4.89434
-11.4811,-2.24794,9.3603,-16.821
-1.80754,-7.29352,2.25353,-9.92672
11.063,-0.642956,-1.82851,1.3088
5.18551,5.82701,6.36413,3.79054
7.99171,-0.631161,2.74618,2.01604
7.95113,2.09371,-7.6313,-0.340749
-13.89,3.04398,-10.9575,-0.650192
-12.4817,-0.350919,-4.72604,-4.65811
-0.60234,0.592034,-0.971374,-7.03306
8.95185,3.39771,-3.7395,-0.339308
6.32123,-1.12575,3.7192,6.96771
-0.125798,-1.42254,7.82441,5.91298
5.947,-6.90549,3.73286,-3.3575
5.59746,-7.36876,5.51693,-9.87815
-5.5618,-1.14243,6.35323,-12.7688
-2.1416,3.98531,-2.90582,-3.60064
2.22109,3.65178,-1.78795,5.17057
2.87172,3.025,4.37533,2.43415
11.3625,5.04621,-3.64059,0.0592074
-2.56794,-0.105656,-5.28711,-1.38813
-10.9107,-1.45562,-0.368635,-5.93509
0.710729,-0.449891,2.56725,-9.262
14.2881,-5.87888,4.28414,-8.8743
9.4524,-4.12612,-1.89128,4.15317
-10.1082,1.72385,-1.37007,9.96154
-3.34938,0.291998,0.464217,-0.837126
9.2657,-1.71254,1.61975,-7.71032
-1.56343,-1.58211,5.08912,-9.25753
-3.56431,2.71412,-1.79871,-0.2867
4.39918,6.23199,-3.66073,2.74821
