a1,a2,a3,a4
-0.788245,-3.72269,1.06864,-0.571325
5.43042,-0.0607042,-4.77016,0.599285
-15.4611,1.90858,2.54934,-0.479515
-5.37686,-1.32105,3.01826,-0.360609
8.87531,3.39575,-1.85842,2.41271
3.14974,2.39084,1.12879,3.24721
-5.84499,0.77731,1.0405,4.5399
4.27081,1.63471,-3.03382,2.93604
-2.04487,0.886451,-3.59448,1.72017
-7.0909,0.911398,-1.74115,4.16704
-3.5285,-1.53499,2.01641,-3.00176
3.2412,-1.17666,-2.04604,-1.81054
0.0115108,1.57235,-3.67932,8.4563
-13.1798,-2.89675,6.5722,7.15078
0.911134,-1.39304,4.01115,-0.212446
9.52553,5.28342,-2.47867,0.00115206
-11.5863,-1.04853,5.06294,-3.00176
-9.43819,3.70839,4.16925,0.702769
10.7501,5.30213,1.39215,5.46736
6.78555,-6.53284,6.07514,3.15439
-5.16098,1.94966,1.41078,-2.22145
-3.87003,9.07244,-12.1505,-0.566137
-14.3739,-2.26237,-2.84661,-1.14164
-2.36442,6.51325,3.21789,0.909016
17.0517,2.39911,1.91998,0.592942
0.576523,-0.865908,4.97189,1.77321
-5.05962,4.48052,-0.688255,9.14523
-2.12954,2.29322,1.13334,-1.53569
-2.13293,-3.06446,0.122662,-3.26552
0.49416,4.24542,-5.37565,3.71678
-9.00209,-1.65986,2.90072,0.894747
0.338659,1.84974,1.31324,3.18567
12.2123,4.76293,-1.72142,4.29718
-3.06865,-8.63079,4.13338,-1.9319
-4.16651,10.005,-4.1459,-1.25853
-3.2369,1.28166,-5.54217,-1.14986
-4.05104,1.19381,-3.28669,2.62039
1.14764,7.01544,-2.94221,4.43886
0.283841,-2.78815,0.115213,0.0890693
2.96643,2.12863,-0.523947,4.93178
-1.07821,1.91414,2.83988,1.14726
-1.39844,-2.66287,2.23521,-4.04035
-0.182661,-1.78676,-2.13447,-1.16168
-3.44817,0.650137,-0.579958,0.0880602
-2.64068,-3.17279,-0.59872,3.85125
2.86642,2.71623,0.451555,3.03001
1.98037,1.45995,0.72209,2.02702
-2.98954,0.294513,-0.035989,2.30821
-4.06407,1.82507,1.02712,-1.75332
-0.00870627,1.90546,-1.16573,0.516265
-1.33616,0.880215,0.553919,3.09559
-1.94636,-5.05639,4.21505,0.458325
3.22505,0.843338,-2.27532,5.2111
-3.39606,3.14764,1.2604,4.87153
-8.21644,-7.82125,7.89246,-3.57943
7.09248,-0.637728,-1.71218,-2.10082
0.00472714,1.30349,-3.15756,-3.37102
-13.2838,-5.32809,3.52305,-3.69444
4.27461,4.78964,-2.14192,5.38305
14.1497,2.53984,-2.11529,4.87297
-5.496,-4.06015,3.28149,1.14611
-2.56388,12.3084,-0.90471,-0.381943
2.60644,-4.61426,-3.68236,-3.80831
-7.23039,0.527032,-0.447517,-2.31744
-1.23643,6.01405,3.08642,-2.06075
4.51519,-4.32643,4.42792,-4.28407
6.66099,4.13398,-0.869945,2.82347
-2.25858,5.23705,1.75926,-1.19742
-1.02814,-3.56529,3.79704,-3.48748
7.23699,3.6463,-2.13502,-2.88286
1.53856,7.23697,-2.02796,-2.31917
-1.87295,-8.17497,-1.23691,-1.78157
4.40148,8.33842,-1.91015,0.173095
3.89862,0.472936,-2.67954,-0.911327
0.871106,-2.19784,0.851772,0.867216
0.528354,1.50523,3.03082,-0.75293
1.5638,3.95352,-0.132421,-1.24599
1.2395,-5.32103,-2.19917,0.185057
-5.30766,-0.958372,1.3647,-3.83987
2.4276,-4.97165,-1.7068,-1.6814
6.42244,-1.37067,-1.70818,4.95196
-2.8761,-4.09879,5.95746,1.16499
4.48995,-6.38709,1.312,-2.70082
8.75197,-3.77381,-4.79954,-3.55579
-8.24467,-6.90487,-0.30473,-9.77724
-0.955277,1.5634,-6.35088,0.274993
6.34212,2.78605,-3.43417,2.2938
1.48117,-7.25738,4.46738,1.38997
7.38951,8.40228,-1.07936,-1.86935
2.3603,-2.59929,-1.75343,-5.47803
-7.35671,-2.8375,-1.92698,-4.08979
-4.33246,5.47919,3.29528,-7.11951
13.3559,-10.2384,1.50983,-7.66619
11.7285,5.62101,-5.48147,11.2597
-13.2505,-2.26156,8.09139,6.03162
7.51597,-6.19267,1.10479,-0.51166
