a1,a2,a3,a4
8.31242,-4.66927,-0.279574,-2.16663
3.77807,-7.09694,-6.34683,-0.800725
-4.83836,0.570051,-9.59574,8.78741
-12.1918,6.19319,-5.27697,9.89979
-10.5854,5.44724,2.57505,-0.146815
-9.3263,4.71931,2.70266,-1.93746
-6.88117,5.2558,1.49415,0.851274
3.38376,-0.32599,-0.623917,3.31111
6.49078,-4.89717,1.43083,7.76468
2.15807,-3.80129,2.67273,5.30152
5.00579,-2.36239,-0.423188,-1.13669
0.270763,-0.104725,-1.17327,0.193617
-5.49836,7.23715,0.292814,-5.92348
-0.354496,8.34754,-2.55464,-6.15423
-5.71492,3.17764,-2.02005,7.03337
-8.9636,5.91837,0.731796,12.3126
0.241318,3.88143,0.584319,0.984449
-1.68453,-5.45589,3.56394,-5.13293
-3.73697,-6.13487,5.74119,-2.93267
5.81952,-1.8419,6.62923,-0.23185
7.94646,-2.34625,4.30132,8.84665
0.436033,2.05518,3.90538,3.08224
4.96481,0.345397,-4.50178,-4.20403
0.288267,0.0982366,-5.00491,-0.351765
-10.3643,7.69215,-3.47206,1.27011
-3.13953,7.64931,-1.56645,-0.361565
-6.05631,0.818568,2.67811,5.96106
-4.66767,1.94564,4.83563,1.5833
4.97608,-1.03358,-4.2838,2.5223
0.201832,-4.82247,-2.31597,4.84565
0.645809,-4.00479,0.0326252,-0.717562
4.80185,-6.79962,-2.48621,1.16317
-3.6291,-4.89284,-0.102022,3.19466
-1.9304,4.70576,-2.58127,2.40181
-0.78816,3.62763,-4.31471,-0.54187
-5.58086,-1.22352,-1.48491,-1.98128
-1.681,6.17448,-1.99908,-1.95015
-1.16986,2.68292,-2.1765,2.84889
-0.819505,-0.941926,1.05945,4.65122
1.83065,0.854632,-0.422498,1.97331
2.75999,-3.22684,0.702411,1.17311
-1.05778,-1.18407,1.61224,3.08743
-0.221656,3.80971,0.183827,0.419322
-1.24136,-2.36185,-0.792778,-0.0335288
-4.88775,0.386342,4.25883,0.726316
-1.34055,5.84462,3.79364,0.366427
0.756532,2.00597,1.67129,3.1076
-0.763736,0.182025,3.60367,-0.357097
3.61144,-2.54813,1.79476,-0.27552
1.23063,-3.58124,-0.885209,1.22687
-1.85387,0.674041,-0.979987,-0.812254
-0.227355,-1.38649,-0.286472,3.92467
-4.68408,-2.53823,2.68459,5.44046
-2.96313,3.57516,1.64591,0.248386
-0.911774,2.22344,-1.53458,-2.90644
-3.18241,-1.78224,-0.887417,-2.43024
-1.34015,0.686108,-1.54217,-1.67183
0.530608,2.32024,-0.764358,-2.12252
1.64991,-1.05446,-0.344552,-0.140904
1.89755,-0.759301,-0.304682,-0.0169537
1.4267,1.95838,0.079807,-2.16418
2.17205,4.82073,1.75862,-3.0177
0.998602,3.90706,2.86173,-3.81358
2.50096,0.633096,2.54277,-2.43802
2.63692,-0.911149,-0.669995,-0.272061
3.19026,0.612082,-2.65673,2.75579
-0.085695,-1.23654,-1.20541,5.53516
-2.40735,-0.805126,5.38319,-1.05569
1.09196,-1.29443,4.64001,-3.95584
-1.66336,-0.413981,2.35501,3.96719
-1.68331,0.0155338,-0.177485,1.30542
4.76453,-4.66764,-2.05771,-6.23378
0.909725,-4.56202,-4.39086,-2.65147
-2.99882,1.66512,-5.53605,-0.669422
3.77481,0.429592,-3.07295,2.7088
0.162753,0.14447,7.77166,2.68934
2.65022,2.57255,6.75353,-5.88643
10.0977,-7.40145,-2.80034,-6.41985
3.10464,-7.45392,-2.55974,-3.51855
3.43165,0.621843,-8.11145,-4.48608
2.54845,-2.58813,-7.53506,-1.9892
-6.33272,-1.05039,-0.430086,1.23696
-2.74847,9.27938,0.242735,2.08343
-1.83759,5.06518,-0.643369,5.90787
0.132494,0.885409,5.4294,-2.47535
7.10871,-1.99158,0.996814,-7.13905
6.99704,-6.35695,-2.40468,-3.04466
4.77661,-4.05631,-5.08065,1.47405
4.86115,2.30045,-5.54198,6.39503
-3.90346,1.2893,1.63487,4.48979
-4.99441,2.26221,2.22919,-1.02239
-4.85872,1.64492,-0.777188,-6.46237
-7.24509,-5.14379,-0.109195,-4.85404
-0.208495,-2.87745,0.55052,-5.81956
6.5954,-5.44627,-0.42236,-2.17787
9.15925,-5.49874,3.47219,10.2229
5.98995,4.25807,3.21518,12.1607
9.2655,1.30177,4.06334,-5.1753
0.905111,-11.5178,2.77233,-14.3149
-7.4375,-3.88196,-1.78166,-11.3323
-7.06856,3.06972,-6.26833,-2.85988
-3.82395,3.08057,1.70799,8.01661
-2.12945,6.51601,7.60114,7.94614
8.56995,-0.213188,-0.628607,-0.122599
8.3287,-8.42792,-5.03305,-5.19145
1.70772,-0.400151,-6.09947,-8.73167
2.33162,0.449523,-5.64324,-1.56273
-5.25303,-3.37299,1.65984,4.65871
-5.00255,6.65254,3.60215,2.90092
-0.263178,8.01063,-4.61587,7.10284
-7.02392,0.184059,1.99122,9.02465
-0.639988,-3.61893,6.89438,-8.47065
8.01064,-6.38881,6.03394,-12.5783
1.68302,-9.92417,2.18601,-6.36235
8.52653,-4.31323,-3.00659,-4.13009
13.2238,-3.75207,-8.25437,8.15916
-2.27586,0.627809,3.76729,9.96076
-0.610815,2.42721,-1.83933,-1.75283
-4.22776,-1.68503,-2.41627,-2.49495
-15.4292,2.06047,2.18201,-4.7533
-1.69796,6.26817,-3.69307,-5.93198
0.585968,-1.9425,-4.31057,4.27404
-0.805937,-1.62416,1.59583,9.29474
7.29555,7.48825,-4.94697,8.70195
1.10362,2.97373,-1.72399,2.03673
-3.42936,-1.38174,6.94377,-9.46067
-2.18644,0.983569,4.34795,-8.4045
-3.12067,1.80382,6.27702,-3.60863
3.86749,-0.683918,4.72389,2.62622
7.23856,-1.15641,-1.49057,8.91165
4.57918,-2.63463,-4.03727,7.87263
