a1,a2,a3,a4
-2.72429,1.00036,0.258655,1.07957
-0.133297,0.467942,1.41364,0.569072
0.393993,-1.28957,0.34612,0.087828
1.75795,-0.230562,0.589064,-0.150416
0.935938,-0.247916,-1.07071,0.332558
1.02807,1.51854,0.453451,0.266691
-0.408612,1.19993,-0.140459,0.263376
-0.710793,0.808923,0.434964,-0.36142
-1.00972,0.503328,0.484077,-0.562479
-0.302503,0.72378,-0.0558908,-0.778239
0.470657,0.0976755,0.3028,-1.16681
0.947606,-1.39844,0.221956,-0.681673
1.91168,-1.21947,0.369571,-0.619842
1.33351,-1.1506,-0.261311,-0.902477
1.42917,-0.330754,1.78047,-1.86612
0.650853,-1.06288,1.82048,-2.61227
1.64736,-0.0196001,2.09225,-2.20006
0.903914,0.328296,0.211057,-0.35551
1.48277,1.12781,-0.14184,0.238154
1.58155,-0.212936,-1.53742,0.449879
1.02454,-0.123996,-0.732576,0.277357
-0.233303,0.266201,-1.69166,0.562299
-0.230725,1.3347,-0.211923,-0.362428
-0.903746,0.356768,0.639829,-0.899018
0.0652144,-0.84026,0.302522,-1.46933
0.235369,-1.09203,-1.34497,0.55711
0.36346,0.176176,-1.14493,0.313966
1.41492,0.339549,-1.46293,2.8597
0.807572,-1.05258,-0.836322,0.503927
1.87871,-3.58438,-1.36787,-10.2302
2.75458,-4.91794,-5.78419,2.03673
-8.82504,4.65178,-1.147,15.5343
-1.26183,8.32068,0.42213,5.56571
2.48551,-3.09304,4.23184,-8.19984
-9.07376,-13.4891,1.6512,-11.2464
-0.0790252,-7.6024,-7.71946,-0.937212
1.573,4.35838,-4.97134,13.1565
-3.36326,3.44363,11.968,8.82849
4.83552,-9.06747,10.4991,1.98283
4.73606,-7.224,-2.31234,-3.01122
-2.50502,6.07414,-9.01917,-9.12673
-1.61449,10.7343,-5.02294,-4.92928
-4.57171,5.08699,6.629,-3.27843
-0.01878,-2.24581,11.2883,2.83664
-2.62511,-2.01464,3.80803,13.0422
-0.666292,6.03292,-1.81458,3.92424
8.72737,3.64632,-0.63463,-10.1353
0.262233,-10.2774,6.68708,-12.0746
2.49229,-15.599,3.28448,-2.22932
7.32271,-3.82544,0.515388,5.7084
0.717064,5.81518,-0.123772,3.22709
1.85374,6.00431,-1.81431,-0.0106103
1.28099,0.80906,-3.6148,-0.458993
-1.05966,2.43845,-6.13184,-1.29868
-4.50577,8.75399,-8.44623,1.45575
-6.63542,5.83701,-1.76299,-0.723613
-1.10349,-6.47913,2.31339,-3.28737
-0.062881,-7.50817,4.25032,5.43225
-2.29891,2.97304,2.15309,8.12875
5.73853,5.84745,-2.11658,0.964994
6.53001,-5.40263,4.21749,-8.61565
-0.172926,-16.439,5.72247,-8.46892
1.8669,-6.83868,-2.53487,-3.12537
0.352464,7.77647,-6.52875,1.86104
-1.26998,5.53209,0.0212197,4.24665
-0.955721,-3.69257,4.14727,3.62935
4.01826,-0.848935,0.131172,-2.05795
3.67361,5.03967,-9.28143,-3.1539
-1.06224,2.76181,-6.69651,-3.79427
2.22661,-5.90183,0.364321,-4.89786
4.02884,-5.04375,3.13797,-2.97619
-0.626267,1.55556,-2.91591,4.54298
-1.41055,6.47437,-4.24831,6.88507
0.510406,4.87928,4.26784,-2.18695
3.65556,-1.12497,8.246,-7.23648
0.943799,-3.88238,2.18854,-2.69212
1.7483,-2.40416,-1.43741,-2.971
6.6425,-2.841,-1.02906,-0.799712
2.76557,-5.89166,-0.0236187,6.6804
0.639718,-5.07548,3.11686,4.5143
4.05733,-2.01478,-0.923243,-0.859381
-0.702661,3.0975,-4.67115,-3.69021
-5.32195,3.6028,-7.17619,-2.32517
-2.92458,2.87678,-3.16134,-1.82663
-2.36269,0.814078,0.887179,1.07497
-1.45723,-1.02031,3.20708,7.55973
-0.943918,-1.51978,1.26187,4.11723
3.03668,-1.95458,0.124961,-4.36199
2.59975,-6.30667,1.91648,-4.22679
0.561423,-7.87681,4.65578,-1.79247
4.14092,-2.89157,3.0556,0.303158
2.19933,2.44048,0.704936,-1.20961
-0.0521661,2.49336,-2.89149,0.492975
-1.09671,2.65429,-2.47417,1.63764
-1.05939,4.71957,-0.636706,-2.65118
0.825746,6.07482,-3.4803,-0.30319
-3.03897,6.31032,-2.39167,2.84097
0.226676,3.81241,-0.0888756,0.545006
4.54582,1.08483,-0.445911,2.51265
-1.49007,-0.625635,1.09177,2.75305
0.357344,-0.832529,0.252708,-1.12227
0.548938,0.554309,0.721075,-0.821331
-3.90304,1.94698,4.66916,-0.232278
-0.763725,1.92664,5.76992,2.26431
1.14855,1.14733,6.29334,2.53974
2.1342,-0.541847,3.88211,-0.872928
3.54619,0.17523,-0.844335,-2.47664
0.736732,1.61779,-2.65821,-2.14673
1.4719,-1.62756,-1.89668,-0.424833
0.296012,-5.89437,0.0167985,2.4524
-2.96597,-2.15293,-0.106122,4.06073
-2.32931,4.62656,-4.91548,2.56612
-2.21194,4.8218,-4.91865,-0.482341
-3.04087,-1.21473,-1.86109,-0.437084
-1.10404,-1.02247,0.947463,0.131502
-0.832928,1.6304,-0.735763,2.14339
-0.382302,2.60887,0.972295,3.84843
0.160999,-0.0308493,2.1448,4.19506
1.26606,-1.71067,2.18453,4.11968
-0.337797,-0.974751,2.0921,0.814959
-0.591944,0.863566,2.18826,-1.15816
-1.78113,0.427815,1.80542,-0.39716
-2.15387,-1.10328,3.30185,0.132799
0.00332695,-1.21012,3.88707,1.44595
0.586793,-0.877269,0.408873,1.78667
1.44259,-1.0542,-4.03655,-0.813547
0.320841,-2.52903,-6.56118,-0.594472
-1.39971,-1.01163,-3.75525,1.51701
-2.09457,0.665892,-2.11921,3.05385
-1.89348,1.29498,0.00120637,3.13528
-3.49096,-1.14382,0.0761174,2.15117
-0.810677,-1.00173,-0.389353,1.07641
-0.676887,0.460896,-1.98332,-0.439966
-0.641336,1.6262,-0.824749,-0.656879
-1.13294,0.826689,1.00292,1.58273
-1.21042,2.22939,2.91874,3.29007
-0.550967,4.0917,2.23378,4.05958
-0.778383,3.28528,2.15363,3.88749
-1.00417,-1.16131,2.11541,2.71082
-0.679737,-3.5216,1.3314,2.02275
-2.17694,-1.76762,-0.416394,1.95963
-2.66868,-0.141345,-2.23979,1.96986
-2.18956,-0.389726,-1.92841,1.67771
-2.72146,-0.883505,-1.57,1.01962
-2.29119,1.76747,-1.79998,1.77557
-2.82499,4.33873,-1.78121,2.2989
-1.83147,4.12262,-0.217735,1.25642
-1.32345,0.807979,0.367206,0.777486
-1.67095,-0.628887,1.21992,0.583633
-0.991554,-0.496833,0.246493,1.16361
-0.132366,0.653419,1.78334,0.330256
0.223276,0.148659,2.45437,-0.252599
0.890191,0.039382,1.93593,0.702539
-0.1477,0.930001,0.649468,1.53848
0.369414,2.0648,0.920555,1.09803
-0.565353,0.911833,1.63352,0.338904
-1.31002,-0.952107,1.59324,-1.43157
-0.916111,-1.69508,0.147438,-1.4503
-1.3628,-0.572486,0.540894,0.792476
-0.353949,-0.507815,1.56289,0.536071
2.27531,-2.46137,1.24213,-0.439101
1.43851,-3.42575,0.107429,0.0258572
0.726684,-1.58716,-0.593949,0.363262
2.02564,-0.47636,-0.873728,-0.212963
0.340646,-1.61468,-0.264092,0.723438
-1.7103,-1.25919,0.175166,-0.607731
-1.09169,0.44734,-0.930981,-1.21148
-0.754913,1.0165,-0.418467,-1.50435
-0.199535,-0.399758,-0.0370137,-0.717556
1.5278,-1.33756,-0.260368,-1.52669
2.62281,-1.93289,-1.89379,-0.593894
4.01444,-1.42785,-2.47846,-1.70152
3.65934,-0.931228,-4.10981,-2.59829
0.77241,3.20041,-2.30546,-1.25227
-1.15316,5.41347,-0.890423,0.327951
0.565347,1.14232,2.86176,1.07454
-1.29903,-5.69263,4.23417,-3.97529
-0.499411,-2.66054,0.341956,-6.26044
0.722204,1.13296,-4.20624,-3.13315
1.2001,-2.8513,4.97321,7.00008
3.82991,-7.36879,12.1055,3.68801
10.1904,-4.61803,3.8643,-0.602686
5.33932,-1.26394,-5.36951,-4.85058
1.75236,-2.12554,-8.20744,-6.6542
3.53912,-1.87716,-7.40218,-2.53703
-4.10822,2.8136,-1.20952,9.06299
-7.52298,8.66099,3.89561,4.67212
-0.600501,5.88596,-1.84785,-1.50277
-2.17314,-0.378336,-0.745293,-5.42738
-2.33679,-5.40439,-1.27091,-7.88534
6.16282,-5.6026,0.00519829,-6.3622
4.37701,-6.54447,2.24522,-1.18511
5.22249,-4.0326,3.14843,4.04574
4.35774,0.56421,-1.25905,5.77297
4.56996,5.70564,-1.43467,1.62712
1.38749,3.23105,-3.2273,-5.2746
-3.40779,-0.923092,-3.46431,-3.15491
-6.67058,0.48232,-4.14348,-0.843091
-4.38204,5.45712,-3.77347,4.22345
-5.24055,5.37144,1.19384,4.48346
-0.959402,0.264716,2.95833,3.43608
4.72138,-2.2641,0.838049,-0.627475
3.22161,-1.20062,-2.24421,-2.17902
4.27144,0.367214,-1.84924,-1.05669
2.75307,-2.82676,0.673603,-1.58867
2.46921,-4.78181,3.31095,-0.0326577
-2.65702,0.498455,-0.0320527,7.87566
-5.60053,8.16396,0.32043,11.3709
-1.45874,2.66731,1.94695,-0.428146
-2.82242,-7.61446,4.03481,-7.38435
-7.83969,-9.65723,2.10561,-12.5267
1.01705,-2.84953,-2.97856,-6.36205
3.64767,-0.576687,-1.00976,11.7651
-1.16375,-0.249128,10.4424,13.1286
10.4788,-1.50459,2.84658,1.47737
5.72956,-1.24075,-5.58155,-2.52334
-7.28255,-2.79693,-6.04578,-8.56361
-0.336317,-1.95973,-5.1485,-10.8127
-5.09645,2.54367,0.10949,7.2758
-11.8045,6.37662,9.33805,14.1842
1.69333,4.24627,4.91912,7.98909
5.64787,-0.991558,-0.640036,-5.00667
-0.276885,-3.4534,-1.90001,-10.6732
4.31458,-3.77879,-2.22711,-13.1946
7.62284,-1.39775,-0.906985,-0.735859
1.13008,1.90089,1.34601,10.5109
0.230594,5.56084,1.42892,4.53362
7.28768,3.93932,-5.26563,-0.76382
-2.01494,2.17204,-7.84876,-0.893824
-6.83599,2.13286,-5.1343,-6.28206
-2.41617,5.09404,0.455487,-2.23681
-5.60705,3.01738,6.98739,-0.888203
2.37571,-4.2258,4.14973,-0.686855
4.68013,-1.74877,0.107833,5.09889
3.82271,4.41303,1.3089,-3.51336
11.8782,0.40938,0.381265,-0.841072
0.772673,-4.80648,4.56926,-0.666245
0.154606,-1.71894,2.84423,-3.11628
2.13486,4.42293,-2.20393,0.0594412
-6.60966,5.26962,0.633728,0.393242
-0.0918068,-2.35223,0.641867,0.0352277
-1.03024,-4.88783,-0.472282,2.25149
-2.82351,0.173066,-1.49027,0.00669038
1.0336,1.79893,-2.22021,0.214091
0.479446,-3.15947,2.36193,-3.21674
2.77369,-5.40438,2.34579,0.297397
2.30569,0.457647,3.09931,1.11778
2.82905,2.88139,0.848665,-0.710204
3.98798,0.646237,0.308973,0.534921
-1.48901,-2.02006,1.31069,-2.67482
